trade_date,close_x,pct_chg_x,vol_x,close_y,pct_chg_y,vol_y
20190417,3263.1179,0.2926,357541796.0,4087.2398,0.0355,180367117.0
20190418,3250.2012,-0.3958,325539942.0,4072.0753,-0.371,146562123.0
20190419,3270.7973,0.6337,315198004.0,4120.6078,1.1918,150794910.0
20190422,3215.0426,-1.7046,353217387.0,4025.6109,-2.3054,189353745.0
20190423,3198.5938,-0.5116,328361207.0,4019.0053,-0.1641,155611650.0
20190424,3201.6137,0.0944,274872164.0,4030.0887,0.2758,145498695.0
20190425,3123.8261,-2.4296,325879129.0,3941.816,-2.1903,159722071.0
20190426,3086.3989,-1.1981,280873854.0,3889.2748,-1.3329,142008068.0
20190429,3062.4985,-0.7744,292114886.0,3900.3339,0.2843,153870927.0
20190430,3078.3389,0.5172,222302517.0,3913.211,0.3302,116233376.0
20190506,2906.464,-5.5834,326972269.0,3684.6168,-5.8416,197472882.0
20190507,2926.3908,0.6856,253281769.0,3720.6684,0.9784,132847654.0
20190508,2893.7567,-1.1152,231530519.0,3667.4574,-1.4301,112867355.0
20190509,2850.9537,-1.4791,200041133.0,3599.7001,-1.8475,101037394.0
20190510,2939.2106,3.0957,282306808.0,3730.4513,3.6323,148003847.0
20190513,2903.7131,-1.2077,212029882.0,3668.7255,-1.6546,103391860.0
20190514,2883.6107,-0.6923,208345353.0,3645.1503,-0.6426,102313460.0
20190515,2938.6781,1.9097,230519701.0,3727.0923,2.248,110161769.0
20190516,2955.711,0.5796,248385701.0,3743.9635,0.4527,116258274.0
20190517,2882.2962,-2.4838,266301643.0,3648.7609,-2.5428,128453245.0
20190520,2870.6046,-0.4056,209472442.0,3617.7924,-0.8487,108963477.0
20190521,2905.9688,1.2319,211387022.0,3666.7762,1.354,111022920.0
20190522,2891.7046,-0.4909,200026905.0,3649.3796,-0.4744,98346128.0
20190523,2852.5153,-1.3552,197340309.0,3583.9646,-1.7925,99897781.0
20190524,2852.9948,0.0168,167205490.0,3593.9139,0.2776,80934048.0
20190527,2892.3782,1.3804,196720902.0,3637.1971,1.2043,108830871.0
20190528,2909.9106,0.6062,223310557.0,3672.2605,0.964,117886240.0
20190529,2914.6964,0.1645,198958821.0,3663.909,-0.2274,93355441.0
20190530,2905.8054,-0.305,205758789.0,3641.1833,-0.6203,94202561.0
20190531,2898.6961,-0.2447,195230580.0,3629.7893,-0.3129,89222267.0
20190603,2890.0809,-0.2972,215943554.0,3632.0127,0.0613,100723180.0
20190604,2862.2803,-0.9619,188463541.0,3598.4666,-0.9236,87097094.0
20190605,2861.4181,-0.0301,181561047.0,3597.105,-0.0378,88642020.0
20190606,2827.7978,-1.175,177064411.0,3564.6778,-0.9015,85534403.0
20190610,2852.1302,0.8605,166585918.0,3610.7435,1.2923,92375061.0
20190611,2925.7162,2.58,260525796.0,3719.2759,3.0058,143482806.0
20190612,2909.3796,-0.5584,240255775.0,3691.0957,-0.7577,119178853.0
20190613,2910.7406,0.0468,212957791.0,3685.3933,-0.1545,96331718.0
20190614,2881.9743,-0.9883,215435796.0,3654.8799,-0.828,101817004.0
20190617,2887.6113,0.1956,153964960.0,3654.8248,-0.0015,72976678.0
20190618,2890.158,0.0878,147705320.0,3667.6185,0.35,70692266.0
20190619,2917.8029,0.9565,230756973.0,3715.9381,1.3175,125595715.0
20190620,2987.1186,2.3756,291011537.0,3828.5183,3.0297,168872073.0
20190621,3001.9802,0.4975,286973835.0,3833.9383,0.1416,153635155.0
20190624,3008.1479,0.2055,210493894.0,3841.2659,0.1911,100084621.0
